Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,,,
2021-01-04,2021,1,4,Monday,01,2021-01,348.49,348.62,338.75,342.44,110210800,0.0,342.44,342.44
2021-01-05,2021,1,5,Tuesday,01,2021-01,341.8,345.88,341.75,344.8,66426200,0.006887548264526755,343.62,343.62
2021-01-06,2021,1,6,Wednesday,01,2021-01,343.29,350.04,342.74,346.86,107997700,0.005978266208979566,344.7,344.7
2021-01-07,2021,1,7,Thursday,01,2021-01,349.22,352.75,349.05,352.01,68766800,0.014857551199858099,346.52750000000003,346.52750000000003
2021-01-08,2021,1,8,Friday,01,2021-01,353.39,354.23,350.15,354.02,71677200,0.005697691767714952,348.026,348.026
2021-01-11,2021,1,11,Monday,02,2021-02,350.85,353.38,350.73,351.63,51034700,-0.006741065301931193,348.6266666666667,348.6266666666667
2021-01-12,2021,1,12,Tuesday,02,2021-02,351.82,352.72,349.47,351.7,52547700,0.0002112445087494308,349.0657142857143,349.0657142857143
2021-01-13,2021,1,13,Wednesday,02,2021-02,351.63,353.64,350.85,352.65,45303600,0.00269327588649948,349.51375,349.51375
2021-01-14,2021,1,14,Thursday,02,2021-02,353.39,353.9,351.08,351.42,49989100,-0.0035020915280867815,349.7255555555555,349.7255555555555
2021-01-15,2021,1,15,Friday,02,2021-02,349.8,350.6,347.0,348.85,107160000,-0.007292710667477054,349.63800000000003,349.63800000000003
2021-01-19,2021,1,19,Tuesday,03,2021-03,351.3,352.13,349.83,351.59,51233300,0.007852005297772191,349.81545454545454,349.81545454545454
2021-01-20,2021,1,20,Wednesday,03,2021-03,353.88,357.29,353.49,356.46,61836100,0.013838755702857863,350.3691666666667,350.3691666666667
2021-01-21,2021,1,21,Thursday,03,2021-03,357.02,357.44,355.86,356.78,47840100,0.0009117827501661235,350.8623076923077,350.8623076923077
2021-01-22,2021,1,22,Friday,03,2021-03,354.94,356.68,354.55,355.52,52860500,-0.003539455433654304,351.195,351.195
2021-01-25,2021,1,25,Monday,04,2021-04,356.25,357.28,351.42,356.92,70402000,0.003943626282052026,352.2292857142857,351.57666666666665
2021-01-26,2021,1,26,Tuesday,04,2021-04,357.87,358.28,356.13,356.37,42665300,-0.0015608399242588167,353.05571428571426,351.87624999999997
2021-01-27,2021,1,27,Wednesday,04,2021-04,353.05,353.14,345.43,347.66,123351100,-0.0244406039681363,353.11285714285714,351.62823529411764
